             x0     alpha  armijo  is_global_min_found  number_of_iterations  global_min_accuracy  found_value  known_function_min
171   12.832422  0.887487    True                 True                    12             0.000026    -0.414885           -0.414912
172   12.372163  0.797937    True                 True                     7             0.000027    -0.414885           -0.414912
173  -13.356896  0.886450    True                 True                    11             0.000027    -0.414885           -0.414912
174   -9.878471  0.212980    True                 True                    12             0.000027    -0.414938           -0.414912
175  -13.356896  0.759179    True                 True                     7             0.000027    -0.414938           -0.414912
176   12.372163  0.759179    True                 True                     6             0.000027    -0.414885           -0.414912
177    5.906892  0.886450    True                 True                     8             0.000027    -0.414885           -0.414912
178   -9.878471  0.443418    True                 True                     9             0.000027    -0.414884           -0.414912
179   -4.617293  0.212980    True                 True                    11             0.000027    -0.414939           -0.414912
180   -2.998408  0.212980    True                 True                     9             0.000027    -0.414939           -0.414912
181    5.906892  0.443418    True                 True                     8             0.000028    -0.414884           -0.414912
182   -9.422631  0.886450    True                 True                     8             0.000028    -0.414939           -0.414912
183   -5.370037  0.212980    True                 True                    10             0.000028    -0.414939           -0.414912
184   -2.127882  0.949952   False                 True                   512             0.000028    -0.414939           -0.414912
185    7.710597  0.886450    True                 True                     9             0.000028    -0.414884           -0.414912
186    3.155587  0.886450    True                 True                     9             0.000028    -0.414884           -0.414912
187    9.722525  0.886450    True                 True                    12             0.000028    -0.414884           -0.414912
188    0.006362  0.886450    True                 True                     8             0.000028    -0.414883           -0.414912
189   -9.422631  0.411824    True                 True                     8             0.000028    -0.414883           -0.414912
190    5.906892  0.887487    True                 True                     8             0.000028    -0.414883           -0.414912
191    7.710597  0.443418    True                 True                     9             0.000029    -0.414883           -0.414912
192    0.006362  0.443418    True                 True                     8             0.000029    -0.414883           -0.414912
193   -7.970052  0.886450    True                 True                    11             0.000029    -0.414883           -0.414912
194   -4.617293  0.886450    True                 True                     9             0.000029    -0.414883           -0.414912
195   -2.276721  0.886450    True                 True                     9             0.000029    -0.414883           -0.414912
196   -0.053171  0.886450    True                 True                     8             0.000029    -0.414883           -0.414912
197    4.619208  0.886450    True                 True                    10             0.000029    -0.414883           -0.414912
198    7.742246  0.886450    True                 True                     9             0.000029    -0.414882           -0.414912
199   -4.617293  0.443418    True                 True                     9             0.000029    -0.414882           -0.414912
200    3.155587  0.887487    True                 True                     9             0.000029    -0.414882           -0.414912
201    7.710597  0.887487    True                 True                     9             0.000029    -0.414882           -0.414912
202    9.625384  0.443418    True                 True                    10             0.000029    -0.414882           -0.414912
203    3.825937  0.886450    True                 True                     8             0.000029    -0.414882           -0.414912
204    7.710597  0.443418   False                 True                   374             0.000029    -0.414941           -0.414912
205   -0.053171  0.443418    True                 True                     8             0.000029    -0.414882           -0.414912
206   -5.370037  0.443418    True                 True                     9             0.000029    -0.414882           -0.414912
207    0.006362  0.887487    True                 True                     8             0.000029    -0.414882           -0.414912
208   -2.127882  0.212980    True                 True                     9             0.000030    -0.414941           -0.414912
209   -9.422631  0.443418    True                 True                     8             0.000030    -0.414882           -0.414912
210    1.468039  0.443418    True                 True                     9             0.000030    -0.414882           -0.414912
211    3.825937  0.443418    True                 True                     8             0.000030    -0.414882           -0.414912
212   -4.617293  0.887487    True                 True                     9             0.000030    -0.414882           -0.414912
213    4.619208  0.887487    True                 True                    10             0.000030    -0.414882           -0.414912
214   -2.276721  0.887487    True                 True                     9             0.000030    -0.414882           -0.414912
215  -13.356896  0.887487    True                 True                    13             0.000030    -0.414881           -0.414912
216    0.006362  0.212980    True                 True                     7             0.000030    -0.414942           -0.414912
217   -0.053171  0.887487    True                 True                     8             0.000030    -0.414881           -0.414912
218  -13.857267  0.759179    True                 True                     5             0.000030    -0.414881           -0.414912
219   12.832422  0.933456    True                 True                    10             0.000030    -0.414881           -0.414912
220    6.453760  0.443418    True                 True                     9             0.000030    -0.414942           -0.414912
221  -12.039283  0.887487    True                 True                    11             0.000030    -0.414881           -0.414912
222   -7.970052  0.887487    True                 True                    10             0.000030    -0.414881           -0.414912
223   13.056749  0.933456    True                 True                    15             0.000030    -0.414942           -0.414912
224    3.825937  0.887487    True                 True                     8             0.000030    -0.414881           -0.414912
225   -8.657883  0.886450    True                 True                     8             0.000030    -0.414942           -0.414912
226   -9.263166  0.759179    True                 True                     6             0.000031    -0.414942           -0.414912
227   -2.127882  0.411824    True                 True                     7             0.000031    -0.414881           -0.414912
228    3.414159  0.939310    True                 True                     9             0.000031    -0.414942           -0.414912
229    9.722525  0.940047    True                 True                     8             0.000031    -0.414942           -0.414912
230   -9.263166  0.212980    True                 True                    13             0.000031    -0.414943           -0.414912
231  -12.879656  0.759179    True                 True                     7             0.000031    -0.414943           -0.414912
232    3.825937  0.358139    True                 True                     4             0.000031    -0.414943           -0.414912
233   12.372163  0.212980    True                 True                    14             0.000031    -0.414943           -0.414912
234   -4.894154  0.212980    True                 True                    12             0.000031    -0.414943           -0.414912
235   -0.053171  0.212980    True                 True                     7             0.000031    -0.414943           -0.414912
236    9.625384  0.212980    True                 True                    13             0.000031    -0.414943           -0.414912
237   -5.317393  0.212980    True                 True                    10             0.000031    -0.414943           -0.414912
238    1.468039  0.933456    True                 True                    10             0.000031    -0.414880           -0.414912
239    7.742246  0.411824   False                 True                   218             0.000032    -0.414943           -0.414912
240   13.056749  0.759179    True                 True                     6             0.000032    -0.414943           -0.414912
241    9.625384  0.759179    True                 True                     7             0.000032    -0.414943           -0.414912
242   -9.878471  0.906608    True                 True                    15             0.000032    -0.414880           -0.414912
243    3.825937  0.797937    True                 True                     5             0.000032    -0.414880           -0.414912
244   -8.657883  0.887487    True                 True                     8             0.000032    -0.414943           -0.414912
245   -2.276721  0.212980    True                 True                     9             0.000032    -0.414944           -0.414912
246    7.742246  0.939310    True                 True                     9             0.000032    -0.414944           -0.414912
247  -13.737198  0.887487    True                 True                    10             0.000032    -0.414944           -0.414912
248    6.453760  0.952442    True                 True                    12             0.000032    -0.414879           -0.414912
249    5.906892  0.411824    True                 True                     5             0.000033    -0.414879           -0.414912
250   -2.276721  0.759179    True                 True                     4             0.000033    -0.414944           -0.414912
251    1.468039  0.745084    True                 True                     4             0.000033    -0.414878           -0.414912
252   -7.970052  0.949952    True                 True                    11             0.000034    -0.414878           -0.414912
253  -10.277819  0.411824    True                 True                     8             0.000034    -0.414878           -0.414912
254    2.192700  0.759179    True                 True                     4             0.000034    -0.414878           -0.414912
255   -5.041378  0.751330    True                 True                     4             0.000034    -0.414946           -0.414912
256  -13.737198  0.411824    True                 True                     7             0.000034    -0.414946           -0.414912
257    3.414159  0.933456    True                 True                    10             0.000034    -0.414946           -0.414912
258   12.372163  0.411824    True                 True                     6             0.000034    -0.414877           -0.414912
259    7.742246  0.940047    True                 True                     9             0.000034    -0.414946           -0.414912
260   12.372163  0.887487    True                 True                    13             0.000034    -0.414877           -0.414912
261   -9.263166  0.948744    True                 True                    11             0.000034    -0.414946           -0.414912
262    9.722525  0.939310    True                 True                     8             0.000035    -0.414946           -0.414912
263   13.056749  0.602063   False                 True                   692             0.000035    -0.414946           -0.414912
264    7.710597  0.948744    True                 True                     9             0.000035    -0.414946           -0.414912
265   -8.657883  0.443418    True                 True                     7             0.000035    -0.414876           -0.414912
266  -13.857267  0.886450    True                 True                     8             0.000035    -0.414876           -0.414912
267    3.155587  0.948744    True                 True                     9             0.000035    -0.414876           -0.414912
268   -4.894154  0.751330   False                 True                   807             0.000036    -0.414947           -0.414912
269   -5.041378  0.745084    True                 True                     5             0.000036    -0.414876           -0.414912
270    1.999779  0.948744    True                 True                    11             0.000036    -0.414876           -0.414912
271   -5.370037  0.940047    True                 True                     9             0.000036    -0.414948           -0.414912
272   14.617436  0.886450    True                 True                     9             0.000036    -0.414875           -0.414912
273  -10.277819  0.939310    True                 True                    12             0.000036    -0.414948           -0.414912
274   -7.970052  0.110111   False                 True                    16             0.000037    -0.414948           -0.414912
275   -7.970052  0.110111    True                 True                    16             0.000037    -0.414948           -0.414912
276    3.155587  0.443418    True                 True                     8             0.000037    -0.414875           -0.414912
277  -13.857267  0.887487    True                 True                     7             0.000037    -0.414948           -0.414912
278   14.617436  0.939310    True                 True                    11             0.000037    -0.414949           -0.414912
279   -8.657883  0.411824    True                 True                     8             0.000037    -0.414875           -0.414912
280   -9.878471  0.933456    True                 True                    10             0.000037    -0.414949           -0.414912
281   -8.657883  0.933456    True                 True                    10             0.000037    -0.414949           -0.414912
282    3.155587  0.949952    True                 True                     9             0.000037    -0.414874           -0.414912
283    4.937668  0.797937    True                 True                     5             0.000037    -0.414949           -0.414912
284  -13.737198  0.949952    True                 True                    10             0.000037    -0.414874           -0.414912
285   -9.422631  0.887487    True                 True                     8             0.000037    -0.414949           -0.414912
286    1.422025  0.989203    True                 True                    11             0.000037    -0.414949           -0.414912
287    1.999779  0.411824    True                 True                     8             0.000038    -0.414874           -0.414912
288    5.357922  0.411824    True                 True                    10             0.000038    -0.414874           -0.414912
289    5.357922  0.939310    True                 True                    10             0.000038    -0.414950           -0.414912
290  -12.039283  0.212980    True                 True                     9             0.000039    -0.414873           -0.414912
291   -7.970052  0.411824    True                 True                     8             0.000039    -0.414873           -0.414912
292    6.453760  0.949952    True                 True                    11             0.000039    -0.414873           -0.414912
293   -5.370037  0.933456    True                 True                     8             0.000039    -0.414950           -0.414912
294    1.468039  0.939310    True                 True                    10             0.000039    -0.414873           -0.414912
295    4.937668  0.940047    True                 True                    11             0.000039    -0.414951           -0.414912
296   -0.053171  0.952442    True                 True                     6             0.000039    -0.414951           -0.414912
297    7.710597  0.949952    True                 True                     9             0.000040    -0.414951           -0.414912
298    4.619208  0.989203    True                 True                    14             0.000040    -0.414951           -0.414912
299   -5.317393  0.939310    True                 True                     3             0.000040    -0.414872           -0.414912
300    1.468039  0.906608    True                 True                     8             0.000040    -0.414872           -0.414912
301   -9.568790  0.126848   False                 True                    20             0.000040    -0.414872           -0.414912
302   -9.568790  0.126848    True                 True                    20             0.000040    -0.414872           -0.414912
303    4.937668  0.989203    True                 True                    12             0.000040    -0.414952           -0.414912
304    1.468039  0.940047    True                 True                    10             0.000040    -0.414871           -0.414912
305   12.832422  0.886450    True                 True                     9             0.000040    -0.414871           -0.414912
306    6.453760  0.939310    True                 True                    12             0.000040    -0.414952           -0.414912
307  -10.277819  0.887487    True                 True                     8             0.000040    -0.414952           -0.414912
308   -5.317393  0.126848   False                 True                    15             0.000040    -0.414871           -0.414912
309   -5.317393  0.126848    True                 True                    15             0.000040    -0.414871           -0.414912
310    9.722525  0.989203    True                 True                    11             0.000041    -0.414952           -0.414912
311    3.155587  0.952442    True                 True                     9             0.000041    -0.414871           -0.414912
312  -13.737198  0.443418    True                 True                     8             0.000041    -0.414871           -0.414912
313   14.617436  0.940047    True                 True                    12             0.000041    -0.414871           -0.414912
314    3.825937  0.933456    True                 True                    10             0.000041    -0.414870           -0.414912
315    9.722525  0.948744    True                 True                     8             0.000042    -0.414870           -0.414912
316    9.625384  0.948744    True                 True                     7             0.000042    -0.414870           -0.414912
317   12.372163  0.939310    True                 True                     9             0.000042    -0.414870           -0.414912
318   14.617436  0.906608    True                 True                    10             0.000042    -0.414870           -0.414912
319    5.906892  0.989203    True                 True                    13             0.000042    -0.414954           -0.414912
320   10.973060  0.886450    True                 True                     9             0.000042    -0.414869           -0.414912
321   -2.127882  0.126848   False                 True                    17             0.000042    -0.414869           -0.414912
322   -2.127882  0.126848    True                 True                    17             0.000042    -0.414869           -0.414912
323   -9.568790  0.411824    True                 True                     8             0.000042    -0.414869           -0.414912
324    7.710597  0.989203    True                 True                    11             0.000042    -0.414954           -0.414912
325   -2.127882  0.443418    True                 True                     8             0.000043    -0.414869           -0.414912
326   -2.276721  0.933456    True                 True                    10             0.000043    -0.414954           -0.414912
327    0.006362  0.126848   False                 True                     9             0.000043    -0.414869           -0.414912
328    0.006362  0.126848    True                 True                     9             0.000043    -0.414869           -0.414912
329   -0.053171  0.110111   False                 True                     6             0.000043    -0.414954           -0.414912
330   -0.053171  0.110111    True                 True                     6             0.000043    -0.414954           -0.414912
331   10.973060  0.411824    True                 True                     9             0.000043    -0.414869           -0.414912
332    1.422025  0.906608    True                 True                     7             0.000043    -0.414954           -0.414912
333   -9.422631  0.989203    True                 True                    10             0.000043    -0.414869           -0.414912
334   -5.041378  0.989203    True                 True                    13             0.000043    -0.414955           -0.414912
335    1.468039  0.411824    True                 True                     6             0.000043    -0.414868           -0.414912
336   -2.276721  0.126848   False                 True                    17             0.000043    -0.414868           -0.414912
337   -2.276721  0.126848    True                 True                    17             0.000043    -0.414868           -0.414912
338   -2.127882  0.933456    True                 True                     9             0.000043    -0.414955           -0.414912
339    6.453760  0.906608    True                 True                     9             0.000043    -0.414955           -0.414912
340    4.937668  0.933456    True                 True                    11             0.000043    -0.414955           -0.414912
341    7.710597  0.933456    True                 True                     7             0.000044    -0.414868           -0.414912
342   -0.053171  0.949952    True                 True                     6             0.000044    -0.414955           -0.414912
